Image_Path,Scale_Factor,Image_Class
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0005_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0034_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0048_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0014_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0004_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0036_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0015_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0001_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0049_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0011_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0018_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0028_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0041_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0009_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0017_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0038_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0044_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0029_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0022_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0007_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0023_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0026_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0016_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0033_scale_1.jpg,1.0,0
/zjh/data/caltech101_scale/scale_1/train/hedgehog/image_0012_scale_1.jpg,1.0,0
